Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.46.1,2845-501_EAP,K11-5F,20201125-W06,,,WIN10,, EAP,,2021-08-02,AP02,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.2,2845-502_EAP,K11-5F,20190722-W14,,,WIN7,, EAP,,2021-10-26,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.3,,K11-5F,,,,,, EAP,,2024-04-12,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.4,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.5,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.6,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.7,2900(Auto)_EAP,K11-5F,20201125-W03,,,WIN10,, EAP,,2021-06-29,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.8,2930_EAP,K11-5F,20201125-W15,,,WIN10,, EAP,,2021-06-29,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.9,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.10,3190_EAP,K11-5F,20201125-W10,,,WIN10,, EAP,,2021-08-02,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.11,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.12,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.13,3101_EAP,K11-5F,20180724-W50,,,WIN10,, EAP,,2022-06-28,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.14,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.15,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.16,2900-501H_EAP,K11-5F,20210331-W28,,,WIN10,, EAP,,2021-06-29,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.17,2900-502H_EAP,K11-5F,20210713-W03,,,WIN10,, EAP,,2021-09-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.18,2900-503H_EAP,K11-5F,20210713-W09,,,WIN10,, EAP,,2021-09-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.19,2900-504H_EAP,K11-5F,20210713-W43,,,WIN10,, EAP,,2021-09-15,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.20,2900-505H_EAP,K11-5F,20210713-W68,,,WIN10,, EAP,,2021-09-15,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.21,2900-506H_EAP,K11-5F,20201208-W50,,,WIN10,, EAP,,2021-09-28,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.22,2900-507H_EAP,K11-5F,20201208-W28,,,WIN10,, EAP,,2021-09-28,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.23,2900-508H_EAP,K11-5F,20220311-W11,,,,, EAP,,2022-10-31,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.24,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.25,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.26,2880_EAP,K11-5F,20190218-W07,,,,, EAP,,2024-04-12,,Y,K11\5F\K11-5F 區網(46).csv,11_5F E7CIM5-3EAP機櫃內,alive
172.21.46.27,2880_Server,K11-5F,Server,,,,, EAP,,2024-04-12,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.28,2890防呆_Server,K11-5F,2890防呆,,,,, EAP,,2024-04-12,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.29,2880 MAP PC,K11-5F,,,,,, EAP,,2024-04-12,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.30,2880-501_防錯料系統,K11-5F,過帳PC,,,,, EAP,,2024-04-12,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.31,2935-501,K11-5F,AOI,,,,, EAP,,2021-06-29,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.32,2930-502,K11-5F,AOI,,,,, EAP,,2021-09-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.33,2930-503,K11-5F,AOI,,,,, EAP,,2021-09-15,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.34,2930-506,K11-5F,AOI,,,,, EAP,,2021-09-28,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.35,2936-508,K11-5F,AOI,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.36,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.37,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.38,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.39,FE09-501,K11-5F,EQP,,,,, EAP,,2021-12-13,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.40,,K11-5F,,,,,, EAP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,,dead
172.21.46.41,2900-501H,K11-5F,EQP,,,,,EQP,,2021-06-29,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.42,2900-502H,K11-5F,EQP,,,,,EQP,,2021-09-03,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.43,2900-503H,K11-5F,EQP,,,,,EQP,,2021-09-03,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.44,2900-504H,K11-5F,EQP,,,,,EQP,,2021-09-15,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.45,2900-505H,K11-5F,EQP,,,,,EQP,,2021-09-15,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.46,2900-506H,K11-5F,EQP,,,,,EQP,,2021-09-28,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.47,2900-507H,K11-5F,EQP,,,,,EQP,,2021-09-28,HANMI 暫無使用,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.48,2900-508F,K11-5F,EQP,,,,,EQP,,2022-11-03,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.49,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.50,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.51,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.52,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.53,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.54,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.55,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.56,2900-502,K11-5F,Loader,,,,,EQP,,2021-11-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.57,2900-504,K11-5F,Loader,,,,,EQP,,2021-11-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.58,2900-506,K11-5F,Loader,,,,,EQP,,2022-10-13,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.59,2900-508,K11-5F,Loader,,,,,EQP,,2022-10-31,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.60,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.61,2935-501,K11-5F,EQP,,,,,EQP,,2021-06-29,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.62,2930-502,K11-5F,EQP,,,,,EQP,,2021-09-03,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.63,2930-503,K11-5F,EQP,,,,,EQP,,2021-09-15,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.64,2930-506,K11-5F,EQP,,,,,EQP,,2021-09-28,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.65,2936-508,K11-5F,EQP,,,,,EQP,,2022-10-31,,,K11\5F\K11-5F 區網(46).csv,,alive
172.21.46.66,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.67,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.68,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.69,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.70,,K11-5F,,,,,,EQP,,,,,K11\5F\K11-5F 區網(46).csv,,dead
172.21.46.71,2935-501,K11-5F,Unloader,,,,,EQP,,2021-06-29,,,K11\5F\K11-5F 區網(46).csv,,alive
