Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,dead
172.22.181.2,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.3,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.4,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.5,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.6,5131_EAP,K25-9F,20220119-W39,,,WIN10,, EAP,,2022/4/8,,,K25\9F\K25-9F 區(181).csv,,alive
172.22.181.7,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.8,5150_EAP,K25-9F,20220119-W22,,,WIN10,, EAP,,2022/5/21,,,K25\9F\K25-9F 區(181).csv,,alive
172.22.181.9,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.10,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.11,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.12,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.13,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.14,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.15,,K25-9F,,,,,, EAP,,,,,K25\9F\K25-9F 區(181).csv,,dead
172.22.181.16,5070-9001,K25-9F,TEST EQP,,,,, EAP,,2022/3/1,,,K25\9F\K25-9F 區(181).csv,,alive
172.22.181.17,5070-9002,K25-9F,TEST EQP,,,,, EAP,,2022/3/9,,,K25\9F\K25-9F 區(181).csv,,alive
172.22.181.18,5070-9003,K25-9F,TEST EQP,,,,, EAP,,2022/3/9,,,K25\9F\K25-9F 區(181).csv,,alive
