時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:48:59,172.21.52.180,20240730-W47,EAP,K11-6F 區網(52),307
2026-06-17 16:54:06,2026-06-17 16:54:03,10.11.94.93,2490_EAP,EAP,其他 區網(10),3
2026-06-17 16:54:06,2026-06-17 16:54:03,10.16.60.135,看板 PC,EAP,其他 區網(10),3
2026-06-17 16:54:06,2026-06-17 16:54:03,10.12.171.114,AOI,EAP,其他 區網(10),3
2026-06-17 16:54:06,2026-06-17 16:54:03,10.11.99.131,20230619-W96,EAP,其他 區網(10),3
2026-06-17 16:54:06,2026-06-17 16:54:03,10.16.134.143,20231027-W01,EAP,其他 區網(10),3
2026-06-17 16:54:06,2026-06-17 16:54:06,172.22.71.6,2900-A09 跳DIE PC,EAP,K21-8F 區網(71),0
