時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.33,2800-K13,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.32,2800-K12,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.31,2800-K11,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.30,2800-K10,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.29,2800-K09,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.41,3190-J01_Lo,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.145,WIP-MSTK2845-2,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.147,WIP-MSTK3190-1,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.111,4515-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.76,2800-C16,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.78,2800-C18,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.50,4600-610,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.79,2800-C19,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:14,172.22.179.161,Auro IR,EQP,K25-8F 區網(179),2992
2026-06-17 16:54:06,2026-06-17 16:04:15,172.21.76.74,3435-S04,EQP,K11-9F 區網(76),2991
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.197,CLEAN-MSTK2_L,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.53,2800-B13,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.96,2800-D06,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.56,2800-B16,EQP,K11-6F 區網(54),2981
