Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.27.1,2880-K01~K04_EAP,K11-3F,20220119-W32,,,WIN7,EAP-07, EAP,,2016-08-08,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.2,2880-K05~K08_EAP,K11-3F,20220119-W36,,,WIN7,EAP-08, EAP,,2016-08-08,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.3,2880-K09~K12_EAP,K11-3F,20220119-W37,,,WIN7,EAP-09, EAP,,2016-08-08,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.4,2880-K13~K14_EAP,K11-3F,20180724-W53,,,WIN7,EAP-12, EAP,,2016-08-08,,Y,K11\3F\K11-3F 區網(27).csv,11_3F D7CIM3-2EAP機櫃內,alive
172.21.27.5,2880_Server,K11-3F,2890防呆,,,,, EAP,,2019-04-26,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.6,2880-K03,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.7,2880-K06,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.8,2880-K02,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.9,2880-K05,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.10,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.11,2880-K04,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.12,2880-K01,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.13,2880(MAP)_EAP,K11-3F,20230911-w119,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.14,2880-K07,K11-3F,過帳PC,,,,, EAP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.15,2880-K09,K11-3F,過帳PC,,,,, EAP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.16,2880-K10,K11-3F,過帳PC,,,,, EAP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.17,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.18,2880-K12,K11-3F,過帳PC,,,,, EAP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.19,2880-K13,K11-3F,過帳PC,,,,, EAP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.20,2880-K14,K11-3F,過帳PC,,,,, EAP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.21,2880-K08,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.22,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.23,2880-K11,K11-3F,過帳PC,,,,, EAP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.24,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.25,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.26,2880_RPA PC,K11-3F,,,,,, EAP,,2022//6/2,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.27,2880_RPA PC,K11-3F,,,,,, EAP,,2022-12-06,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.28,2890_中繼電腦,K11-3F,,,,,, EAP,,2023-03-31,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.29,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.30,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.31,2560 EAP,K11-3F,20180724-W54,,,WIN10,, EAP,,2022-03-03,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.32,2845-K01 EAP,K11-3F,20180124-W47,,,WIN7,, EAP,,2019-08-29,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.33,2845-K02~K03 EAP,K11-3F,20190430-W21,,,WIN7,, EAP,,2017-08-28,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.34,,K11-3F,,,,WIN7,, EAP,,2017-08-28,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.35,,K11-3F,,,,WIN7,, EAP,,2017-08-28,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.36,2845-K04~K05 EAP,K11-3F,20111013-W08,,,WIN7,, EAP,,2017-08-28,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.37,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.38,,K11-3F,,,,WIN10,, EAP,,2020-12-24,AP02,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.39,2845-K07~K08 EAP,K11-3F,20100112-W01,,,WIN7,, EAP,,2021-06-15,,Y,K11\3F\K11-3F 區網(27).csv,11_3F E6CIM3-1EAP機櫃內,alive
172.21.27.40,,K11-3F,,,,,, EAP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,,dead
172.21.27.41,2880-NK06,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.42,2880-NK02,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.43,2880-NK05,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.44,,K11-3F,,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.45,2880-NK04,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.46,,K11-3F,,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.47,2880-NK03,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.48,2880-NK07,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.49,2880-NK08,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.50,2880-NK09,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.51,2880-NK11,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.52,2880-NK12,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.53,2880-NK13,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.54,2880-NK14,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.55,2880-NK10,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.56,,K11-3F,,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.57,2890-NK06,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.58,2890-NK02,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.59,2890-NK05,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.60,2890-NK10,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.61,2890-NK04,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.62,2890-NK01,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.63,2890-NK03,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.64,2890-NK07,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.65,2890-NK08,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.66,2890-NK09,K11-3F,EQP,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.67,2890-NK11,K11-3F,EQP,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.68,2890-NK12,K11-3F,EQP,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.69,2890-NK13,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.70,2890-NK14,K11-3F,EQP,,,,,EQP,,2021-06-09,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.71,2880-K06,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.72,2880-K02,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.73,2880-K05,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.74,,K11-3F,,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,dead
172.21.27.75,2880-K04,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.76,2880-K01,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.77,2880-K03,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.78,2880-K07,K11-3F,Loader,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.79,2880-K08,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.80,2880-K09,K11-3F,Loader,,,,,EQP,,2020-11-20,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.81,2880-K11,K11-3F,Loader,,,,,EQP,,2018-06-27,,,K11\3F\K11-3F 區網(27).csv,,alive
172.21.27.82,2880-K12,K11-3F,Loader,,,,,EQP,,,,,K11\3F\K11-3F 區網(27).csv,,alive
