Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
172.21.53.1,4515_EAP,K11-6F,20200603-W23,,,WIN10,, EAP,,2021/6/11,,Y,K11\6F\K11-6F 區網(53).csv,11_6F C7CIM6-2EAP機櫃內,alive
172.21.53.2,4600_EAP,K11-6F,20200603-W40,,,WIN10,, EAP,,2017/8/1,,Y,K11\6F\K11-6F 區網(53).csv,11_6F C7CIM6-2EAP機櫃內,alive
172.21.53.3,4730_EAP,K11-6F,20220119-W15,,,WIN10,, EAP,,2017/8/1,,Y,K11\6F\K11-6F 區網(53).csv,11_6F C7CIM6-2EAP機櫃內,alive
172.21.53.4,4800_EAP,K11-6F,20130815-W02,,,WIN7,, EAP,,2021/2/6,AP01,Y,K11\6F\K11-6F 區網(53).csv,11_6F C7CIM6-2EAP機櫃內,alive
172.21.53.5,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.6,4800-601,K11-6F,2013-F022,,,,, EAP,,2016/12/27,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.7,4800-602,K11-6F,20240517-602,,,,, EAP,,2020/9/30,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.8,4800-603,K11-6F,2013-F006,,,,, EAP,,2020/11/4,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.9,4800-604,K11-6F,20240517-604,,,,, EAP,,2020/9/19,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.10,4800-605,K11-6F,2013-F008,,,,, EAP,,2020/10/27,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.11,4800-606,K11-6F,EQP,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.12,4800-607,K11-6F,20240522-607,,,,, EAP,,2021/1/12,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.13,4800-608,K11-6F,EQP,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.14,4800-609,K11-6F,EQP,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.15,4800-610,K11-6F,EQP,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.16,4800-817,K11-6F,EQP,,,,, EAP,,2018/11/15,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.17,4800-803,K11-6F,EQP,,,,, EAP,,2018/11/27,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.18,4800-813,K11-6F,2013-F022,,,,, EAP,,2020/9/14,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.19,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.20,4800-652,K11-6F,EQP,,,,, EAP,,2021/6/16,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.21,4600自動搬運EAP,K11-6F,20200603-W29,,,WIN10,, EAP,,2021/5/14,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.22,4600SAA廠商EAP,K11-6F,自動搬運,,,,, EAP,,2021/5/14,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.23,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.24,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.25,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.26,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.27,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.28,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.29,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.30,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.31,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.32,,K11-6F, ,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.33,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.34,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.35,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.36,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.37,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.38,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.39,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.40,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,dead
172.21.53.41,4600-601,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.42,4600-602,K11-6F,EQP,,,,,EQP,,2020/9/30,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.43,4600-603,K11-6F,EQP,,,,,EQP,,2020/11/4,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.44,4600-604,K11-6F,EQP,,,,,EQP,,2020/9/18,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.45,4600-605,K11-6F,EQP,,,,,EQP,,2020/10/27,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.46,4600-606,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.47,4600-607,K11-6F,EQP,,,,,EQP,,2021/1/12,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.48,4600-608,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.49,4600-609,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.50,4600-610,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.51,4600-803,K11-6F,EQP,,,,,EQP,,2021/4/1,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.52,4600-813,K11-6F,EQP,,,,,EQP,,2020/9/14,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.53,4600-817,K11-6F,EQP,,,,,EQP,,2018/11/15,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.54,,K11-6F,,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.55,4600-652,K11-6F,EQP,,,,,EQP,,2021/6/16,,,K11\6F\K11-6F 區網(53).csv,,alive
172.21.53.56,,K11-6F,,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.57,4515-651,K11-6F,EQP,,,,,EQP,,2020/6/19,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.58,4515-652,K11-6F,EQP,,,,,EQP,,2020/6/19,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.59,,K11-6F,,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.60,,K11-6F,,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.61,4730-601,K11-6F,EQP,,,,,EQP,,,,,K11\6F\K11-6F 區網(53).csv,,dead
172.21.53.62,4730-602,K11-6F,EQP,,,,,EQP,,2020/9/30,,,K11\6F\K11-6F 區網(53).csv,,dead
