Internal_IP,Machine_ID,Local,Device_Name,TCP_Port,COM_Port,OS_Spec,IP_Source,Category,Online_Test,Set_Time,Remark,歲修,File_Place,所在區域(柱位),alive_or_dead
0,0,0,0,0,0,0,0,0,0,0,0,0,0,,dead
172.21.51.2,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.3,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.4,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.5,3449_EAP,K11-6F,20150316-W79,,,WIN7,, EAP,,2017/7/10,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.6,2630_EAP,K11-6F,20190722-W20,,,WIN7,, EAP,,2017/7/10,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.7,3260_EAP,K11-6F,20210503-W01,,,WIN10,, EAP,,2022/1/9,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.8,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.9,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.10,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.11,2700-03_EAP,K11-6F,20230407-W63,,,,, EAP,,2023/10/4,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.12,2700-04_EAP,K11-6F,20230407-W64,,,,, EAP,,2023/10/4,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.13,2700-05_EAP,K11-6F,20230407-W62,,,,, EAP,,2023/10/4,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.14,2700-13_EAP,K11-6F,20230724-W75,,,,, EAP,,2023/10/4,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.15,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.16,3260自動搬運 EAP,K11-6F,20200603-W99,,,WIN10,, EAP,,2020/9/7,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.17,3260東捷廠商 PC,K11-6F,自動搬運,,,,, EAP,,2020/9/7,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.18,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.19,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.20,2601 三軸上拋_PC,K11-6F,20221101-W32,,,WIN10,, EAP,,2023/2/16,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.21,2601-A01_EAP,K11-6F,20240401-W08,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.22,2601-A02_EAP,K11-6F,20220907-W29,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.23,2601-A03_EAP,K11-6F,20220907-W31,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.24,2601-A04_EAP,K11-6F,20220907-W32,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.25,2601-A05_EAP,K11-6F,20221017-W105,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.26,2601-A06_EAP,K11-6F,20210915-W130,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.27,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.28,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.29,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.30,,K11-6F,,,,,, EAP,,,,,K11\6F\K11-6F 區網(51).csv,,dead
172.21.51.31,2601-B01_EAP,K11-6F,20220907-W159,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
172.21.51.32,2601-B02_EAP,K11-6F,20220511-W123,,,,, EAP,,2021/12/14,,,K11\6F\K11-6F 區網(51).csv,,alive
